图片ID,种族,职业,提示词
892,人类,学者,"human girl, purple hair, long hair, hair between eyes, crossed bangs, feather accent, blue eyes, petite build, small breasts, blue-gold color scheme, alluring librarian attire, scholarly vest, revealing chemise, archive tools, catalog books, magnifying lens, leather gloves, reading spectacles, book strap, academic jewelry, seductive intellectual ornaments, library seal, gentle, reading, library, sunlight, peaceful, blue-gold color scheme, looking_ahead, medium_shot, from_below, symmetric composition,"
893,人类,商人,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, braided bangs, crossed bangs, jeweled hairpin, blue eyes, petite build, small breasts, gold-brown color scheme, alluring wealthy attire, luxurious fabrics, jeweled accessories, money bag, business documents, seal ring, silk tie, golden chains, expensive jewelry, trade goods, seductive prosperity ornaments, merchant badge, gentle, negotiating, trading post, sunlight, peaceful, gold-brown color scheme, sideways_glance, portrait, dutch angle, turn_one's_back,"
894,人类,盗贼,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, straight hair, blunt bangs, streaked hair, blue eyes, petite build, small breasts, dark color scheme, tight leather armor, revealing cloak, hood, dagger, shortsword, lockpicks, throwing knives, belt chains, fingerless gloves, face veil, provocative stealth accessories, rope coil, sly, sneaking, tavern, moonlight, mysterious, dark color scheme, eye-contact, wide_shot, foreshortening, rule of thirds,"
895,人类,教师,"human girl, purple hair, long hair, curly hair, long bangs, streaked hair, brown eyes, petite build, small breasts, academy blue color scheme, transparent scholar robes, revealing academic gown, library attire, books, quill, scroll case, ribbon bookmarks, spectacles, chain necklace, cuffed sleeves, alluring scholarly accessories, pointer stick, encouraging, standing, village, study light, educational, academy blue color scheme, sideways_glance, full_shot, from_above, symmetric composition,"
896,人类,女仆,"human girl, purple hair, long hair, drill hair, crossed bangs, tiara, pink eyes, petite build, small breasts, white-black color scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, obedient, standing, manor, sunlight, peaceful, white-black color scheme, looking_afar, full_shot, cinematic_angle, aerial,"
897,人类,法师,"human girl, purple hair, long hair, double bun, crossed bangs, jeweled hairpin, pink eyes, athletic build, (medium breasts:1.2), arcane purple scheme, alluring sorceress set, sheer satin robe, gilded trims, ornate wand, tome with clasps, slit brocade cape, beaded cords, gemstone rings, arcane brooch, spell components, provocative mystical ornaments, ritual accessories, mysterious, meditating, silver forest, starlight, magical, arcane purple scheme, eyeball, upper_body, cinematic_angle, rule of thirds,"
898,人类,医师,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, high ponytail, centre parting bangs, flower accessory, brown eyes, athletic build, (medium breasts:1.2), healing green scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, gentle, standing, herbalist hut, soft light, peaceful, healing green scheme, eyeball, cowboy_shot, front view, aerial,"
899,人类,吟游诗人,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, straight hair, asymmetric bangs, braid detail, golden eyes, athletic build, (medium breasts:1.2), vibrant multi-color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, cheerful, standing, village, stage light, peaceful, vibrant multi-color scheme, facing_away, panorama, dutch angle, symmetric composition,"
900,人类,骑士,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, drill hair, crossed bangs, jeweled hairpin, pink eyes, athletic build, (medium breasts:1.2), white-silver color scheme, revealing tournament armor, polished cuirass, lance, buckler, sash, embroidered cape, plume, signet ring, scabbard, chain belt, seductive knight ornaments, tournament favor, confident, standing, royal palace, sunlight, romantic, white-silver color scheme, looking_up, cowboy_shot, cinematic_angle, rule of thirds,"
901,人类,牧师,"human girl, purple hair, long hair, bob cut, long bangs, braid detail, purple eyes, athletic build, (medium breasts:1.2), white-gold color scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, calm, casting, starlit plains, moonlight, romantic, white-gold color scheme, looking_away, profile, from_above, symmetric composition,"
902,人类,女王,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, side ponytail, centre parting bangs, ahoge, blue eyes, athletic build, (medium breasts:1.2), imperial crimson scheme, alluring dragon robe, imperial crown, jade scepter, phoenix embroidery, slit silk train, golden threads, royal brooch, ceremonial bracers, signet ring, court jewelry, provocative sovereign accessories, dragon motifs, majestic, sitting regally, royal palace, sunlight, luxurious, imperial crimson scheme, gradient, wide_shot, from_side, aerial,"
903,人类,公主,"human girl, purple hair, long hair, braided bangs, crossed bangs, tiara, green eyes, athletic build, (medium breasts:1.2), rose-gold color scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, elegant, dancing, flower garden, sunlight, dreamy, rose-gold color scheme, looking_back, full_shot, dutch angle, elegant composition,"
904,人类,王后,"human girl, purple hair, long hair, hair bun, long bangs, tiara, green eyes, athletic build, (medium breasts:1.2), royal purple color scheme, alluring consort gown, ornate crown, revealing royal mantle, slit ceremonial dress, golden embroidery, royal jewels, silk gloves, court waist chain, regal choker, formal accessories, seductive queenly ornaments, royal fan, dignified, standing gracefully, court hall, sunlight, regal, royal purple color scheme, gradient, medium_shot, foreshortening, elegant composition,"
905,人类,战士,"human girl, purple hair, long hair, hair between eyes, long bangs, feather accent, rainbow eyes, athletic build, (medium breasts:1.2), steel-red color scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, cold, combat stance, royal palace, sunlight, epic, steel-red color scheme, head_tilt, wide_shot, foreshortening, symmetric composition,"
906,人类,学者,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, twintails, swept bangs, delicate hair ornament, brown eyes, athletic build, (medium breasts:1.2), scholarly brown scheme, alluring librarian attire, scholarly vest, revealing chemise, archive tools, catalog books, magnifying lens, leather gloves, reading spectacles, book strap, academic jewelry, seductive intellectual ornaments, library seal, thoughtful, writing, library, candlelight, peaceful, scholarly brown scheme, stare, cowboy_shot, from_below, rule of thirds,"
907,人类,商人,"human girl, purple hair, long hair, forehead, asymmetric bangs, flower accessory, red eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, underground trader outfit, concealed goods, smuggling pouches, illegal trade items, secret contacts list, coded ledger, hidden compartments, black market tokens, contraband seals, shadowy business tools, forbidden merchandise, discrete accessories, smiling, negotiating, marketplace, warm light, busy, obsidian-purple color scheme, gradient, wide_shot, from_side, elegant composition,"
908,人类,盗贼,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, braided bangs, swept bangs, streaked hair, blue eyes, athletic build, (medium breasts:1.2), dark color scheme, phantom thief attire, acrobatic gear, silk grappling rope, calling card, rooftop running shoes, dramatic cloak, gentleman thief accessories, heist plans, escape routes, theatrical ornaments, signature mask, trophy collection, mysterious, crouching, dark forest, shadow, mysterious, dark color scheme, looking_away, full_shot, dutch angle, elegant composition,"
909,人类,教师,"human girl, purple hair, long hair, side ponytail, long bangs, ahoge, purple eyes, athletic build, (medium breasts:1.2), blue-white color scheme, military instructor gear, tactical teaching uniform, strategy boards, combat training manual, war game pieces, drill equipment, tactical maps, battlefield simulation tools, training whistle, military medals, discipline ornaments, rank insignia, encouraging, explaining, village, study light, peaceful, blue-white color scheme, head_down, upper_body, dynamic_angle, rule of thirds,"
910,人类,女仆,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, hime cut, streaked hair, green eyes, athletic build, (medium breasts:1.2), classic maid scheme, magical maid attire, enchanted apron, cleaning spell wand, convenience magic tools, household charm accessories, arcane domestic implements, magical service badge, spell-aided cleaning gear, mystical servant ornaments, enchanted slippers, mana-infused jewelry, quick-clean magic, obedient, cleaning pose, village, indoor light, peaceful, classic maid scheme, looking_to_the_side, full_shot, cinematic_angle, rule of thirds,"
